ID_id_num,ID_session_num,ID_tdate,ID_bdate,Trial_onset,Trial_offset,Trial_tool,Trial_tool_direction,Trial_target,Grasp_onset,Grasp_offset,Grasp_hand,Grasp_overunder,Grasp_radialunlar,Grasp_grip_type,Grasp_grasp_location_on_tool
01,01,25/02/2004,24/05/2003,307989,322740,s,r,i,312081,322707,r,m,m,f,e
01,01,25/02/2004,24/05/2003,334950,371514,s,l,i,353760,357291,l,o,r,f,e
01,01,25/02/2004,24/05/2003,383559,395835,s,l,i,389004,395703,r,m,m,p,h
01,01,25/02/2004,24/05/2003,424314,455103,s,r,i,447414,449196,r,o,r,f,e
01,01,25/02/2004,24/05/2003,470514,491865,s,l,i,488004,490545,r,o,u,f,h
01,01,25/02/2004,24/05/2003,515130,558030,s,r,i,"","","","","","",""
01,01,25/02/2004,24/05/2003,570900,587763,s,l,i,"","","","","","",""
01,01,25/02/2004,24/05/2003,671979,688314,h,l,n,"","","","","","",""
01,01,25/02/2004,24/05/2003,699501,706860,h,r,n,701778,704847,r,o,r,p,m
01,01,25/02/2004,24/05/2003,723228,730290,h,l,n,"","","","","","",""
01,01,25/02/2004,24/05/2003,737352,781242,h,l,n,"","","","","","",""
01,01,25/02/2004,24/05/2003,806388,846153,b,l,n,810876,811701,l,o,r,p,e
01,01,25/02/2004,24/05/2003,806388,846153,b,l,n,812328,845922,l,o,r,p,e
01,01,25/02/2004,24/05/2003,849519,891198,b,r,n,851895,876710,r,o,r,p,m
01,01,25/02/2004,24/05/2003,849519,891198,b,r,n,876711,891165,l,o,r,f,e
01,01,25/02/2004,24/05/2003,893673,975975,b,r,n,896016,939378,r,o,r,p,m
01,01,25/02/2004,24/05/2003,893673,975975,b,r,n,939379,949014,l,o,r,p,h
01,01,25/02/2004,24/05/2003,893673,975975,b,r,n,949015,950829,r,u,u,p,e
01,01,25/02/2004,24/05/2003,893673,975975,b,r,n,950830,975843,h,u,u,p,e
01,01,25/02/2004,24/05/2003,2030325,2045010,s,l,i,"","","","","","",""
01,01,25/02/2004,24/05/2003,2049630,2062896,s,l,i,"","","","","","",""
01,01,25/02/2004,24/05/2003,2088042,2094213,h,l,n,"","","","","","",""
01,02,03/03/2004,24/05/2003,274527,300069,s,l,i,281589,283206,r,o,u,p,m
01,02,03/03/2004,24/05/2003,317724,354816,s,r,i,"","","","","","",""
01,02,03/03/2004,24/05/2003,366597,431640,s,r,i,384153,384879,r,o,r,p,m
01,02,03/03/2004,24/05/2003,366597,431640,s,r,i,392964,396660,r,o,r,p,e
01,02,03/03/2004,24/05/2003,366597,431640,s,r,i,397122,397122,r,o,r,p,e
01,02,03/03/2004,24/05/2003,366597,431640,s,r,i,398278,418671,r,o,r,p,e
01,02,03/03/2004,24/05/2003,366597,431640,s,r,i,418672,419562,l,u,r,p,h
01,02,03/03/2004,24/05/2003,366597,431640,s,r,i,419563,421971,r,o,r,p,e
01,02,03/03/2004,24/05/2003,366597,431640,s,r,i,422004,425898,l,o,r,p,m
01,02,03/03/2004,24/05/2003,366597,431640,s,r,i,425899,427680,r,m,m,p,h
01,02,03/03/2004,24/05/2003,366597,431640,s,r,i,427713,431277,l,o,r,p,e
01,02,03/03/2004,24/05/2003,448305,470415,s,l,i,"","","","","","",""
01,02,03/03/2004,24/05/2003,481239,518859,s,r,i,"","","","","","",""
01,02,03/03/2004,24/05/2003,529683,543279,s,r,i,"","","","","","",""
01,02,03/03/2004,24/05/2003,543675,550110,s,r,i,"","","","","","",""
01,02,03/03/2004,24/05/2003,593076,627858,h,r,n,605286,608421,r,o,r,f,m
01,02,03/03/2004,24/05/2003,593076,627858,h,r,n,609180,609741,r,o,r,p,m
01,02,03/03/2004,24/05/2003,593076,627858,h,r,n,611622,612117,r,o,r,p,m
01,02,03/03/2004,24/05/2003,593076,627858,h,r,n,614724,615351,r,o,r,p,m
01,02,03/03/2004,24/05/2003,593076,627858,h,r,n,617430,618387,r,o,r,p,m
01,02,03/03/2004,24/05/2003,593076,627858,h,r,n,618882,619707,r,o,r,p,m
01,02,03/03/2004,24/05/2003,661353,706233,h,l,n,687225,688908,r,m,m,p,h
01,02,03/03/2004,24/05/2003,661353,706233,h,l,n,689172,690657,r,m,m,p,h
01,02,03/03/2004,24/05/2003,726066,742236,h,l,n,"","","","","","",""
01,02,03/03/2004,24/05/2003,744876,772299,h,r,n,754545,755205,r,o,r,p,m
01,02,03/03/2004,24/05/2003,744876,772299,h,r,n,755766,756558,r,o,r,p,m
01,02,03/03/2004,24/05/2003,793716,841500,h,l,n,807939,814968,l,m,m,f,e
01,02,03/03/2004,24/05/2003,793716,841500,h,l,n,815397,837738,l,u,u,p,m
01,02,03/03/2004,24/05/2003,862620,909975,b,r,n,864534,867405,r,o,r,p,m
01,02,03/03/2004,24/05/2003,862620,909975,b,r,n,869055,875787,r,o,r,p,e
01,02,03/03/2004,24/05/2003,862620,909975,b,r,n,875820,876975,l,m,m,p,h
01,02,03/03/2004,24/05/2003,862620,909975,b,r,n,877008,878757,r,o,r,p,m
01,02,03/03/2004,24/05/2003,862620,909975,b,r,n,878790,886611,l,o,r,p,e
01,02,03/03/2004,24/05/2003,862620,909975,b,r,n,886644,887469,r,u,r,p,m
01,02,03/03/2004,24/05/2003,862620,909975,b,r,n,887502,909843,l,o,r,p,e
01,02,03/03/2004,24/05/2003,912186,969408,b,l,n,915288,922977,r,o,u,p,m
01,02,03/03/2004,24/05/2003,912186,969408,b,l,n,923010,924429,l,m,m,p,h
01,02,03/03/2004,24/05/2003,912186,969408,b,l,n,924462,934626,r,u,r,p,h
01,02,03/03/2004,24/05/2003,912186,969408,b,l,n,936705,969276,l,o,r,p,m
01,02,03/03/2004,24/05/2003,1014783,1024815,b,l,n,"","","","","","",""
01,02,03/03/2004,24/05/2003,1186416,1194501,s,r,n,"","","","","","",""
01,03,10/03/2004,24/05/2003,335412,353133,s,r,i,339603,345081,l,o,u,f,e
01,03,10/03/2004,24/05/2003,335412,353133,s,r,i,345114,347061,r,u,u,p,e
01,03,10/03/2004,24/05/2003,335412,353133,s,r,i,347127,350295,l,o,u,p,h
01,03,10/03/2004,24/05/2003,335412,353133,s,r,i,350328,351153,r,o,r,p,e
