"ID_id_num","ID_session_num","ID_tdate","ID_bdate","Trial_onset","Trial_offset","Trial_tool","Trial_tool_direction","Trial_target","Grasp_onset","Grasp_offset","Grasp_hand","Grasp_overunder","Grasp_radialunlar","Grasp_grip_type","Grasp_grasp_location_on_tool","born","test","Age","AdaptiveGrasp","session"
"1","1","25/02/2004","24/05/2003",307989,322740,"Spoon","r","i",312081,322707,"r","m","m","f","e",2003-05-24,2004-02-25,277,1,1
"1","1","25/02/2004","24/05/2003",334950,371514,"Spoon","l","i",353760,357291,"l","o","r","f","e",2003-05-24,2004-02-25,277,1,1
"1","1","25/02/2004","24/05/2003",383559,395835,"Spoon","l","i",389004,395703,"r","m","m","p","h",2003-05-24,2004-02-25,277,0,1
"1","1","25/02/2004","24/05/2003",424314,455103,"Spoon","r","i",447414,449196,"r","o","r","f","e",2003-05-24,2004-02-25,277,1,1
"1","1","25/02/2004","24/05/2003",470514,491865,"Spoon","l","i",488004,490545,"r","o","u","f","h",2003-05-24,2004-02-25,277,0,1
"1","1","25/02/2004","24/05/2003",699501,706860,"Hammer","r","n",701778,704847,"r","o","r","p","m",2003-05-24,2004-02-25,277,1,1
"1","1","25/02/2004","24/05/2003",806388,846153,"Brush","l","n",810876,811701,"l","o","r","p","e",2003-05-24,2004-02-25,277,1,1
"1","1","25/02/2004","24/05/2003",806388,846153,"Brush","l","n",812328,845922,"l","o","r","p","e",2003-05-24,2004-02-25,277,1,1
"1","1","25/02/2004","24/05/2003",849519,891198,"Brush","r","n",851895,876710,"r","o","r","p","m",2003-05-24,2004-02-25,277,1,1
"1","1","25/02/2004","24/05/2003",849519,891198,"Brush","r","n",876711,891165,"l","o","r","f","e",2003-05-24,2004-02-25,277,0,1
"1","1","25/02/2004","24/05/2003",893673,975975,"Brush","r","n",896016,939378,"r","o","r","p","m",2003-05-24,2004-02-25,277,1,1
"1","1","25/02/2004","24/05/2003",893673,975975,"Brush","r","n",939379,949014,"l","o","r","p","h",2003-05-24,2004-02-25,277,0,1
"1","1","25/02/2004","24/05/2003",893673,975975,"Brush","r","n",949015,950829,"r","u","u","p","e",2003-05-24,2004-02-25,277,0,1
"1","1","25/02/2004","24/05/2003",893673,975975,"Brush","r","n",950830,975843,"h","u","u","p","e",2003-05-24,2004-02-25,277,1,1
"1","2","03/03/2004","24/05/2003",274527,300069,"Spoon","l","i",281589,283206,"r","o","u","p","m",2003-05-24,2004-03-03,284,0,2
"1","2","03/03/2004","24/05/2003",366597,431640,"Spoon","r","i",384153,384879,"r","o","r","p","m",2003-05-24,2004-03-03,284,1,2
"1","2","03/03/2004","24/05/2003",366597,431640,"Spoon","r","i",392964,396660,"r","o","r","p","e",2003-05-24,2004-03-03,284,1,2
"1","2","03/03/2004","24/05/2003",366597,431640,"Spoon","r","i",397122,397122,"r","o","r","p","e",2003-05-24,2004-03-03,284,1,2
"1","2","03/03/2004","24/05/2003",366597,431640,"Spoon","r","i",398278,418671,"r","o","r","p","e",2003-05-24,2004-03-03,284,1,2
"1","2","03/03/2004","24/05/2003",366597,431640,"Spoon","r","i",418672,419562,"l","u","r","p","h",2003-05-24,2004-03-03,284,1,2
"1","2","03/03/2004","24/05/2003",366597,431640,"Spoon","r","i",419563,421971,"r","o","r","p","e",2003-05-24,2004-03-03,284,1,2
"1","2","03/03/2004","24/05/2003",366597,431640,"Spoon","r","i",422004,425898,"l","o","r","p","m",2003-05-24,2004-03-03,284,0,2
"1","2","03/03/2004","24/05/2003",366597,431640,"Spoon","r","i",425899,427680,"r","m","m","p","h",2003-05-24,2004-03-03,284,1,2
"1","2","03/03/2004","24/05/2003",366597,431640,"Spoon","r","i",427713,431277,"l","o","r","p","e",2003-05-24,2004-03-03,284,0,2
"1","2","03/03/2004","24/05/2003",593076,627858,"Hammer","r","n",605286,608421,"r","o","r","f","m",2003-05-24,2004-03-03,284,1,2
"1","2","03/03/2004","24/05/2003",593076,627858,"Hammer","r","n",609180,609741,"r","o","r","p","m",2003-05-24,2004-03-03,284,1,2
"1","2","03/03/2004","24/05/2003",593076,627858,"Hammer","r","n",611622,612117,"r","o","r","p","m",2003-05-24,2004-03-03,284,1,2
"1","2","03/03/2004","24/05/2003",593076,627858,"Hammer","r","n",614724,615351,"r","o","r","p","m",2003-05-24,2004-03-03,284,1,2
"1","2","03/03/2004","24/05/2003",593076,627858,"Hammer","r","n",617430,618387,"r","o","r","p","m",2003-05-24,2004-03-03,284,1,2
"1","2","03/03/2004","24/05/2003",593076,627858,"Hammer","r","n",618882,619707,"r","o","r","p","m",2003-05-24,2004-03-03,284,1,2
"1","2","03/03/2004","24/05/2003",661353,706233,"Hammer","l","n",687225,688908,"r","m","m","p","h",2003-05-24,2004-03-03,284,0,2
"1","2","03/03/2004","24/05/2003",661353,706233,"Hammer","l","n",689172,690657,"r","m","m","p","h",2003-05-24,2004-03-03,284,0,2
